Year,lambda,95_confint.L,pop_size,95_confint.N
1984,1.07,"(0.86,1.31)",75.55,"(61.08,90.81)"
1985,1.42,"(1.18,1.72)",79.89,"(67.01,93.43)"
1986,1.01,"(0.87,1.19)",113.06,"(96.67,129.85)"
1987,1.17,"(1.01,1.37)",114.24,"(100.02,129.05)"
1988,1.08,"(0.95,1.23)",133.25,"(116.7,151.21)"
1989,0.93,"(0.82,1.05)",143.5,"(127.8,160.2)"
1990,1.08,"(0.95,1.23)",132.65,"(117.9,148.25)"
1991,1.08,"(0.94,1.23)",143.44,"(127.4,161.3)"
1992,1.06,"(0.94,1.2)",154.41,"(137.5,172.11)"
1993,1.03,"(0.91,1.15)",163.43,"(146.2,180.85)"
1994,0.94,"(0.83,1.06)",167.22,"(149.6,185.7)"
1995,0.97,"(0.85,1.11)",156.11,"(139.85,173.8)"
1996,0.77,"(0.66,0.9)",151.17,"(134.65,168.4)"
1997,1.3,"(1.1,1.53)",115.78,"(100.1,133.5)"
1998,1.13,"(1,1.31)",149.87,"(132.9,167.4)"
1999,0.84,"(0.74,0.96)",169.58,"(151.1,189.31)"
2000,0.91,"(0.79,1.05)",142.61,"-126,160.10"
2001,0.87,"(0.74,1.02)",129.66,"(114.25,146.56)"
2002,0.82,"(0.7,0.97)",112.25,"(96.61,128.5)"
2003,0.98,"(0.83,1.14)",91.65,"(79.59,105.2)"
2004,0.9,"(0.75,1.08)",89.41,"(76.26,103.4)"
2005,0.95,"(0.78,1.13)",80.12,"(68.79,93.32)"
2006,NA,NA,75.82,"(62.97,90.17)"
